report_id,date,source,category,priority,report_text,classification,confidence_score
RPT0041,2024-11-13,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Chennai.,UNCLASSIFIED,81
RPT0139,2024-11-02,Media Monitoring,Civil Unrest,MEDIUM,Farmers Unity Forum protest continues in Kandla Port for third consecutive day. Around 500 protesters blocking highway demanding better crop prices. Workers Welfare Association also joined the demonstration. Police monitoring situation closely.,RESTRICTED,72
RPT0140,2024-10-10,Field Report,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Delhi. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,85
RPT0026,2024-12-04,Media Monitoring,Entertainment,LOW,Bollywood production house announced shooting schedule at Chennai. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,86
RPT0024,2024-10-15,Media Monitoring,Weather,LOW,Meteorological department predicts heavy rainfall in Pune region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,89
RPT0145,2024-10-23,OSINT,Diplomatic,MEDIUM,Delegation from Pakistan arrives in Bangalore for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,73
RPT0082,2024-11-09,Field Report,Infrastructure,LOW,Highway construction project between Pune and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,87
RPT0080,2024-12-06,Field Report,Sports,LOW,Cricket match between India and New Zealand scheduled at Chennai. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,88
RPT0085,2024-11-06,Social Media,Entertainment,LOW,Bollywood production house announced shooting schedule at Pune. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,94
RPT0040,2024-11-22,OSINT,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Mumbai.,UNCLASSIFIED,76
RPT0109,2024-10-07,Tip-off,Accidents,MEDIUM,"Gas leak reported at industrial facility in Jaipur. 15 workers hospitalized, area evacuated as precautionary measure. Gujarat Maritime Solutions facility under investigation. Northeast Logistics Services transport suspended temporarily.",RESTRICTED,66
RPT0087,2024-10-22,Field Report,Health,LOW,New hospital facility inaugurated in Delhi with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,91
RPT0128,2024-12-02,Informant,Labor Dispute,MEDIUM,Workers at manufacturing facility in Ahmedabad staging strike over wage disputes. Management in negotiations with union representatives. Al-Barkat Money Exchange handling worker remittances under scrutiny.,RESTRICTED,80
RPT0176,2024-11-22,Informant,Cyber Attack,HIGH,Sophisticated malware detected targeting critical infrastructure in Kolkata. Attack vector traced to IP addresses in Pakistan. Jaish Module Pulwama Cell digital operations wing suspected. Data breach confirmed affecting multiple government systems.,SECRET,95
RPT0167,2024-11-28,Cyber Intel,Espionage,HIGH,Foreign national Zaheer Khan under surveillance for suspicious activities near military installation at Kolkata. Possible intelligence gathering for ISI Karachi Operations. Hizbul Mujahideen Operative Cell contacts identified.,SECRET,89
RPT0048,2024-11-07,Social Media,Technology,LOW,IIT Mumbai researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,92
RPT0095,2024-11-26,Cyber Intel,Weather,LOW,Meteorological department predicts heavy rainfall in Jaipur region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,92
RPT0138,2024-11-30,Tip-off,Cyber Incident,MEDIUM,Government website faced temporary outage in Kandla Port due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,65
RPT0169,2024-11-04,Social Media,Maritime Threat,HIGH,"Unidentified vessel spotted 15 nautical miles from Mumbai coast. Not responding to coast guard signals, possible smuggling attempt. Border Weapon Smuggling Network suspected. Golden Triangle Connection drug shipment likely.",SECRET,88
RPT0062,2024-11-06,Field Report,Entertainment,LOW,Bollywood production house announced shooting schedule at Chennai. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,81
RPT0074,2024-10-29,Cyber Intel,Technology,LOW,IIT Chennai researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,85
RPT0034,2024-10-09,Social Media,Technology,LOW,IIT Mumbai researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,92
RPT0044,2024-12-09,Media Monitoring,Sports,LOW,Cricket match between India and Australia scheduled at Delhi. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,80
RPT0136,2024-12-08,OSINT,Civil Unrest,MEDIUM,Farmers Unity Forum protest continues in Kolkata for third consecutive day. Around 500 protesters blocking highway demanding better crop prices. Workers Welfare Association also joined the demonstration. Police monitoring situation closely.,RESTRICTED,61
RPT0142,2024-12-06,Informant,Diplomatic,MEDIUM,Delegation from Myanmar arrives in Kashmir for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,69
RPT0063,2024-12-04,OSINT,Entertainment,LOW,Bollywood production house announced shooting schedule at Kolkata. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,77
RPT0179,2024-10-09,Social Media,Terrorism,HIGH,Intelligence indicates Abdul Karim and Mohammad Bashir planning coordinated attack in Ahmedabad. Intercepted communications mention explosives procurement. Lashkar Network Kashmir Unit involvement suspected. ISI Karachi Operations may be providing logistical support.,SECRET,77
RPT0120,2024-12-02,Tip-off,Labor Dispute,MEDIUM,Workers at manufacturing facility in Chennai staging strike over wage disputes. Management in negotiations with union representatives. Al-Barkat Money Exchange handling worker remittances under scrutiny.,RESTRICTED,80
RPT0123,2024-10-12,Cyber Intel,Diplomatic,MEDIUM,Delegation from Myanmar arrives in Jaipur for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,84
RPT0106,2024-11-13,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Pune.,UNCLASSIFIED,89
RPT0054,2024-11-03,Media Monitoring,Weather,LOW,Meteorological department predicts heavy rainfall in Hyderabad region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,83
RPT0006,2024-11-13,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Bangalore.,UNCLASSIFIED,85
RPT0163,2024-12-02,Cyber Intel,Radicalization,HIGH,Online propaganda spread by Jaish Module Pulwama Cell targeting youth in Chennai region. Social media accounts promoting extremist ideology identified. Junaid Afridi suspected of content creation. D-Company Dubai Branch funding operation.,SECRET,92
RPT0004,2024-10-04,Social Media,Infrastructure,LOW,Highway construction project between Chennai and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,88
RPT0168,2024-10-18,Satellite,Maritime Threat,HIGH,"Unidentified vessel spotted 15 nautical miles from Bangalore coast. Not responding to coast guard signals, possible smuggling attempt. Border Weapon Smuggling Network suspected. Golden Triangle Connection drug shipment likely.",SECRET,80
RPT0050,2024-12-07,Social Media,Infrastructure,LOW,Highway construction project between Mumbai and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,77
RPT0036,2024-10-30,Field Report,Sports,LOW,Cricket match between India and Australia scheduled at Mumbai. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,77
RPT0081,2024-11-12,OSINT,Politics,LOW,Chief Minister Rajesh Mehta inaugurated new metro line in Hyderabad. Project worth 5000 crore rupees completed ahead of schedule. Infrastructure Minister Sunita Kapoor was also present at the ceremony.,UNCLASSIFIED,84
RPT0078,2024-11-10,Social Media,Weather,LOW,Meteorological department predicts heavy rainfall in Lucknow region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,78
RPT0035,2024-12-15,OSINT,Technology,LOW,IIT Mumbai researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,95
RPT0008,2024-11-03,Social Media,Social,LOW,Annual cultural festival begins in Ahmedabad. Artists from 15 states participating in week-long event. Smart Systems India providing technical infrastructure for the venue.,UNCLASSIFIED,78
RPT0111,2024-11-02,OSINT,Labor Dispute,MEDIUM,Workers at manufacturing facility in Bangalore staging strike over wage disputes. Management in negotiations with union representatives. Al-Barkat Money Exchange handling worker remittances under scrutiny.,RESTRICTED,83
RPT0092,2024-10-14,Media Monitoring,Sports,LOW,Cricket match between India and Bangladesh scheduled at Chennai. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,91
RPT0084,2024-12-12,Social Media,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Pune. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,75
RPT0159,2024-11-10,Media Monitoring,Smuggling,HIGH,"Customs officials seized 50 kg contraband at Jaipur. Suspect Rashid Ahmed arrested, investigation reveals links to D-Company Dubai Branch cartel. Border Weapon Smuggling Network suspected involvement.",SECRET,94
RPT0164,2024-11-09,Satellite,Cyber Attack,HIGH,Sophisticated malware detected targeting critical infrastructure in Mumbai. Attack vector traced to IP addresses in Unknown. Jaish Module Pulwama Cell digital operations wing suspected. Data breach confirmed affecting multiple government systems.,SECRET,72
RPT0090,2024-10-10,Social Media,Social,LOW,Annual cultural festival begins in Pune. Artists from 15 states participating in week-long event. Smart Systems India providing technical infrastructure for the venue.,UNCLASSIFIED,81
RPT0009,2024-10-11,Social Media,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Kolkata.,UNCLASSIFIED,86
RPT0014,2024-11-29,Social Media,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Kolkata. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,82
RPT0060,2024-10-02,Field Report,Infrastructure,LOW,Highway construction project between Jaipur and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,78
RPT0155,2024-11-05,Satellite,Radicalization,HIGH,Online propaganda spread by Jaish Module Pulwama Cell targeting youth in Hyderabad region. Social media accounts promoting extremist ideology identified. Junaid Afridi suspected of content creation. D-Company Dubai Branch funding operation.,SECRET,90
RPT0132,2024-11-02,Cyber Intel,Cyber Incident,MEDIUM,Government website faced temporary outage in Ahmedabad due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,70
RPT0018,2024-11-01,Social Media,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Jaipur. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,83
RPT0073,2024-10-29,Field Report,Health,LOW,New hospital facility inaugurated in Ahmedabad with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,84
RPT0161,2024-10-25,Informant,Terrorism,HIGH,Intelligence indicates Abdul Karim and Mohammad Bashir planning coordinated attack in Northeast Region. Intercepted communications mention explosives procurement. Lashkar Network Kashmir Unit involvement suspected. ISI Karachi Operations may be providing logistical support.,SECRET,90
RPT0135,2024-11-07,Field Report,Diplomatic,MEDIUM,Delegation from Nepal arrives in Ahmedabad for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,69
RPT0151,2024-11-21,Informant,Cyber Incident,MEDIUM,Government website faced temporary outage in Jaipur due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,74
RPT0166,2024-12-05,Informant,Terror Financing,HIGH,Hawala transactions worth 2 crore traced to Al-Barkat Money Exchange. Financial trail leads to accounts linked with Lashkar Network Kashmir Unit. Tariq Mahmood identified as key facilitator. Kashmir Hawala Network under active monitoring.,SECRET,85
RPT0064,2024-11-05,Field Report,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Mumbai.,UNCLASSIFIED,79
RPT0055,2024-10-17,Cyber Intel,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Kolkata.,UNCLASSIFIED,85
RPT0108,2024-10-11,Media Monitoring,Sports,LOW,Cricket match between India and South Africa scheduled at Pune. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,89
RPT0051,2024-10-09,Media Monitoring,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Delhi. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,87
RPT0178,2024-11-18,Informant,Maritime Threat,HIGH,"Unidentified vessel spotted 15 nautical miles from Wagah Border coast. Not responding to coast guard signals, possible smuggling attempt. Border Weapon Smuggling Network suspected. Golden Triangle Connection drug shipment likely.",SECRET,87
RPT0059,2024-12-09,Social Media,Health,LOW,New hospital facility inaugurated in Kolkata with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,95
RPT0049,2024-11-10,Social Media,Sports,LOW,Cricket match between India and Australia scheduled at Mumbai. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,90
RPT0089,2024-10-19,Media Monitoring,Technology,LOW,IIT Mumbai researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,90
RPT0022,2024-11-18,Social Media,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Ahmedabad.,UNCLASSIFIED,83
RPT0058,2024-10-09,Field Report,Weather,LOW,Meteorological department predicts heavy rainfall in Hyderabad region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,80
RPT0175,2024-10-13,OSINT,Radicalization,HIGH,Online propaganda spread by Jaish Module Pulwama Cell targeting youth in Northeast Region region. Social media accounts promoting extremist ideology identified. Junaid Afridi suspected of content creation. D-Company Dubai Branch funding operation.,SECRET,93
RPT0130,2024-11-01,Tip-off,Labor Dispute,MEDIUM,Workers at manufacturing facility in Lucknow staging strike over wage disputes. Management in negotiations with union representatives. Al-Barkat Money Exchange handling worker remittances under scrutiny.,RESTRICTED,75
RPT0038,2024-12-13,Media Monitoring,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Ahmedabad. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,90
RPT0158,2024-11-06,OSINT,Radicalization,HIGH,Online propaganda spread by Jaish Module Pulwama Cell targeting youth in Kashmir region. Social media accounts promoting extremist ideology identified. Junaid Afridi suspected of content creation. D-Company Dubai Branch funding operation.,SECRET,84
RPT0171,2024-12-10,Tip-off,Border Infiltration,HIGH,Movement of armed individuals detected near Kashmir. Thermal imaging shows group of 8-10 persons attempting border crossing at night. Imran Sheikh believed to be coordinating operation. Jaish Module Pulwama Cell operatives identified.,SECRET,76
RPT0002,2024-10-14,OSINT,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Jaipur. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,93
RPT0053,2024-10-11,Social Media,Social,LOW,Annual cultural festival begins in Lucknow. Artists from 15 states participating in week-long event. Smart Systems India providing technical infrastructure for the venue.,UNCLASSIFIED,91
RPT0150,2024-12-12,Media Monitoring,Cyber Incident,MEDIUM,Government website faced temporary outage in Lucknow due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,74
RPT0131,2024-11-24,Informant,Public Gathering,MEDIUM,Religious congregation expected to draw 10000 people in Wagah Border. Police deploying additional personnel for crowd management. Student Democratic Front organizing peaceful participation.,RESTRICTED,68
RPT0152,2024-10-06,Tip-off,Border Activity,MEDIUM,Increased vehicle movement observed near Gujarat Coast border checkpoint. Coastal Trading Corporation vehicles flagged for additional inspection. Customs officials report longer than usual queues. Border Import-Export Ltd shipment delayed.,RESTRICTED,79
RPT0104,2024-11-23,Social Media,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Jaipur.,UNCLASSIFIED,82
RPT0100,2024-11-19,Media Monitoring,Technology,LOW,IIT Bangalore researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,77
RPT0117,2024-11-20,Cyber Intel,Labor Dispute,MEDIUM,Workers at manufacturing facility in Pune staging strike over wage disputes. Management in negotiations with union representatives. Al-Barkat Money Exchange handling worker remittances under scrutiny.,RESTRICTED,63
RPT0088,2024-11-12,Field Report,Social,LOW,Annual cultural festival begins in Chennai. Artists from 15 states participating in week-long event. Smart Systems India providing technical infrastructure for the venue.,UNCLASSIFIED,82
RPT0075,2024-10-09,Social Media,Entertainment,LOW,Bollywood production house announced shooting schedule at Hyderabad. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,87
RPT0122,2024-11-29,Social Media,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Gujarat Coast. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,70
RPT0180,2024-11-25,Media Monitoring,Smuggling,HIGH,"Customs officials seized 50 kg contraband at Chennai. Suspect Rashid Ahmed arrested, investigation reveals links to D-Company Dubai Branch cartel. Border Weapon Smuggling Network suspected involvement.",SECRET,84
RPT0021,2024-10-21,Social Media,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Pune. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,77
RPT0072,2024-10-21,Cyber Intel,Entertainment,LOW,Bollywood production house announced shooting schedule at Delhi. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,76
RPT0107,2024-12-08,Social Media,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Pune. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,93
RPT0015,2024-10-08,Field Report,Weather,LOW,Meteorological department predicts heavy rainfall in Mumbai region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,87
RPT0093,2024-10-07,OSINT,Health,LOW,New hospital facility inaugurated in Chennai with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,89
RPT0103,2024-11-18,Field Report,Social,LOW,Annual cultural festival begins in Mumbai. Artists from 15 states participating in week-long event. Smart Systems India providing technical infrastructure for the venue.,UNCLASSIFIED,84
